# Time(sec)	Measured F1(Hz)
0.362297,1000000.000100
0.862883,999999.999950
1.362990,1000000.000010
1.862609,999999.999970
2.362635,1000000.000100
2.862422,1000000.000050
3.362957,999999.999830
3.862630,999999.999920
4.362298,1000000.000140
4.862342,1000000.000120
5.362510,999999.999980
5.862387,1000000.000290
6.362595,999999.999970
6.862570,999999.999960
7.362394,999999.999980
7.862275,1000000.000040
8.362232,1000000.000070
8.862598,999999.999940
9.362514,1000000.000010
9.862439,999999.999900
10.362575,1000000.000060
10.862166,1000000.000230
11.362817,999999.999980
11.862337,1000000.000070
12.362756,999999.999890
12.862705,999999.999900
13.362275,999999.999840
13.862250,999999.999880
14.362543,1000000.000050
14.862859,999999.999910
15.362202,1000000.000260
15.862536,999999.999940
16.362259,1000000.000060
16.862276,999999.999890
17.362422,1000000.000100
17.862186,999999.999980
18.362695,1000000.000210
18.862688,999999.999990
19.363016,1000000.000120
19.862984,1000000.000140
20.362278,1000000.000000
20.862247,999999.999840
21.362995,999999.999750
21.862451,999999.999740
22.362753,1000000.000150
22.862104,1000000.000000
23.361995,1000000.000020
23.862299,1000000.000030
24.362538,1000000.000140
24.862311,1000000.000080
25.362901,999999.999960
25.862641,999999.999830
26.362923,1000000.000130
26.862603,1000000.000130
27.362539,1000000.000130
27.861998,999999.999920
28.362079,999999.999950
28.862578,999999.999880
29.362099,1000000.000010
29.862282,1000000.000060
30.362506,1000000.000010
30.862656,999999.999970
31.362095,999999.999960
31.862825,999999.999900
32.362408,1000000.000060
32.862613,1000000.000120
33.362443,1000000.000140
33.862767,999999.999840
34.362360,999999.999780
34.862624,1000000.000040
35.362316,999999.999890
35.862706,999999.999980
36.362009,1000000.000190
36.862655,999999.999880
37.362732,1000000.000000
37.862420,1000000.000190
38.362717,1000000.000000
38.862066,1000000.000070
39.362828,1000000.000220
39.862676,999999.999980
40.362856,1000000.000000
40.862596,999999.999900
41.362576,1000000.000160
41.862495,1000000.000240
42.362468,1000000.000000
42.862066,1000000.000070
43.362811,999999.999920
43.862474,999999.999910
44.362104,1000000.000090
44.862208,1000000.000110
45.363172,1000000.000090
45.862898,1000000.000120
46.362987,999999.999910
46.862744,999999.999880
47.362747,1000000.000070
47.862690,999999.999960
48.362518,999999.999900
48.862982,999999.999870
49.362316,999999.999860
49.862967,999999.999980
50.362831,1000000.000000
50.861986,999999.999940
51.362435,1000000.000180
51.862072,999999.999990
52.362569,999999.999970
52.862409,999999.999970
53.362210,1000000.000010
53.862250,999999.999970
54.363032,1000000.000120
54.861995,1000000.000050
55.362235,1000000.000200
55.862231,1000000.000020
56.362911,1000000.000030
56.862772,1000000.000000
57.362047,1000000.000130
57.862559,999999.999930
58.362083,999999.999930
58.862013,1000000.000210
59.362137,999999.999990
59.862832,999999.999930
60.362674,999999.999950
60.862187,1000000.000190
61.362731,1000000.000210
61.862118,999999.999960
62.362914,1000000.000170
62.862243,1000000.000020
63.362463,999999.999890
63.862460,1000000.000200
64.362263,1000000.000140
64.862218,999999.999860
65.362774,999999.999830
65.862142,1000000.000040
66.362254,999999.999870
66.862307,1000000.000120
67.362324,1000000.000060
67.862451,999999.999960
68.362283,1000000.000020
68.862534,999999.999970
69.362163,1000000.000100
69.862317,1000000.000210
70.362128,999999.999920
70.862918,1000000.000090
71.362878,1000000.000080
71.862539,999999.999990
72.362956,999999.999980
72.862134,1000000.000020
73.362915,1000000.000050
73.862762,999999.999840
74.362391,999999.999960
74.862869,999999.999950
75.362095,999999.999880
75.862544,999999.999960
76.362200,999999.999960
76.862221,999999.999890
77.362275,1000000.000140
77.862582,999999.999860
78.362215,1000000.000000
78.862054,1000000.000000
79.362082,1000000.000120
79.862049,999999.999980
80.362164,1000000.000080
80.862484,1000000.000090
81.362607,1000000.000080
81.862195,1000000.000040
82.362335,1000000.000080
82.862495,1000000.000010
83.362095,1000000.000320
83.862023,1000000.000120
84.362247,999999.999950
84.862357,1000000.000030
85.362182,1000000.000030
85.862275,1000000.000050
86.362115,1000000.000030
86.862203,1000000.000280
87.362156,1000000.000090
87.862049,999999.999950
88.362446,999999.999980
88.862131,999999.999980
89.362004,999999.999800
89.862257,1000000.000020
90.362804,999999.999890
90.862496,1000000.000070
